2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 10.116.172.71, 224.0.0.251, UDP
2024-04-07 13:51:52, 10.116.172.70, 10.116.172.71, UDP
2024-04-07 13:51:53, 10.116.172.70, 162.159.136.234, TCP
2024-04-07 13:51:53, 162.159.136.234, 10.116.172.70, TCP
2024-04-07 13:51:53, 10.116.172.70, 162.159.136.234, TCP
2024-04-07 13:51:53, 10.116.172.71, 224.0.0.251, UDP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:53, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:53, 20.42.73.24, 10.116.172.70, TCP
